name,place,date,price,url,city,governorate,scraped_at
TESTOSTÉRONE DE CYRINE GANNOUN,Théâtre El Hamra,Du 16/01/2026 au 17/01/2026,20 TND,https://teskerti.tn/evenement/testosterone-de-cyrine-gannoun-695bf1504319e,Tunis,Tunis,2026-01-16T14:22:26.482941
"RÊVE(S) COMÉDIE NOIRE"" DE JALILA BACCAR ET FADHEL JAIBI LE 16-JAN",Cinéma Théâtre Le Rio,16 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/reves-comedie-noire-de-jalila-baccar-et-fadhel-jaibi-le-16-jan,Tunis,Tunis,2026-01-16T14:22:26.534951
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/touskie,Tunis,Tunis,2026-01-16T14:22:26.584802
"RÊVE(S) COMÉDIE NOIRE"" DE JALILA BACCAR ET FADHEL JAIBI LE 17-JAN",Cinéma Théâtre Le Rio,17 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/reves-comedie-noire-de-jalila-baccar-et-fadhel-jaibi-le-17-jan,Tunis,Tunis,2026-01-16T14:22:26.632602
SALADE CÉSAR ONE MAN SHOW,Théâtre des régions,18 Janvier 2026 à 19:00,20 TND,https://teskerti.tn/evenement/salade-cesar-one-man-show,Tunis,Tunis,2026-01-16T14:22:26.676640
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,Tunis,Tunis,2026-01-16T14:22:26.723046
LE MONDE CHANTE FOOTBALL,Théâtre des régions,24 Janvier 2026 à 19:00,40 TND,https://teskerti.tn/evenement/le-monde-chante-football,Tunis,Tunis,2026-01-16T14:22:26.765361
TWERAKH TOUNES,Théâtre des régions,26 Janvier 2026 à 19:30,50 TND,https://teskerti.tn/evenement/twerakh-tounes,Tunis,Tunis,2026-01-16T14:22:26.812309
JUNGLE BOOK CIRCUS,Parc Montazah de Carthage,29 Janvier 2026 à 18:00,20 TND,https://teskerti.tn/evenement/jungle-book-circus,Tunis,Tunis,2026-01-16T14:22:26.870013
HASSEN DOSS | SOUSSE,Théâtre Municipal de Sousse,29 Janvier 2026 à 19:00,35 TND,https://teskerti.tn/evenement/hassen-doss-sousse,Sousse,Sousse,2026-01-16T14:22:26.917028
BIN EL KASSERINE,Théâtre municipal de sfax,30 Janvier 2026 à 19:00,25 TND,https://teskerti.tn/evenement/bin-el-kasserine,Tunis,Tunis,2026-01-16T14:22:26.959028
KOLNA NGHANI | SFAX,Théâtre municipal de sfax,31 Janvier 2026 à 19:30,N/A,https://teskerti.tn/evenement/kolna-nghani-sfax,Tunis,Tunis,2026-01-16T14:22:26.998986
SPECTACLE VISA DE KARIM GHARBI | MONASTIR,Palais Des Sciences De Monastir,31 Janvier 2026 à 19:30,25 TND,https://teskerti.tn/evenement/spectacle-visa-de-karim-gharbi-monastir,Tunis,Tunis,2026-01-16T14:22:27.039867
SPECTACLE TOUNSI WOU NOSS - MEHDIA,Salle Des Fêtes Honeymoon,01 Février 2026 à 18:30,21.5 TND,https://teskerti.tn/evenement/spectacle-tounsi-wou-noss-mehdia,Tunis,Tunis,2026-01-16T14:22:27.087027
EL DAHEEH,Palais des Congrès,01 Février 2026 à 19:30,64.5 TND,https://teskerti.tn/evenement/el-daheeh,Tunis,Tunis,2026-01-16T14:22:27.127918
ABBA SYMPHONIA 2ND DATE,Théâtre de l'opéra,07 Février 2026 à 19:30,38 TND,https://teskerti.tn/evenement/abba-symphonia-2nd-date,Tunis,Tunis,2026-01-16T14:22:27.170081
